500
0 499
0 1 1190918323
0 2 1103002036
0 4 51000994
0 6 361661628
0 8 374465910
0 9 948352133
0 10 2124875285
0 11 1928800297
0 12 1525214616
0 13 1754440069
0 17 1587182568
0 20 856267896
0 21 427948254
0 23 1906039362
0 24 527227310
0 26 415890581
0 27 1895582472
0 28 1029310689
0 30 144839353
0 31 1416960321
0 34 1247482602
0 40 1260253177
0 41 771894732
0 43 1289988260
0 44 1392667522
0 45 987860061
0 47 1831133808
0 48 313646301
0 51 951599241
0 52 1887733282
0 53 563150103
0 54 1708075300
0 59 1932784041
0 60 334856920
0 63 738179730
0 66 1165944697
0 70 1827723731
0 71 1013485279
0 73 2027497219
0 77 8236913
0 78 70034913
0 80 432297848
0 82 1884360146
0 83 1773007373
0 85 1179299280
0 86 500163967
0 88 907232645
0 89 99645572
0 90 162612568
0 93 1708817586
0 95 861911719
0 96 1986271998
0 98 1743070746
0 99 639679452
0 101 1118979242
0 102 179832784
0 103 2007956629
0 104 292647832
0 110 1195330548
0 112 59377876
0 114 1378523406
0 117 2061406359
0 118 1708496411
0 119 1469983668
0 121 1067241492
0 124 1632999679
0 125 141670711
0 126 1247114460
0 128 505098910
0 129 1902490274
0 134 1032106320
0 135 1840779828
0 136 96157575
0 137 693885578
0 138 1299496768
0 140 445190540
0 141 2007906861
0 142 236406575
0 143 802230851
0 144 861260761
0 145 2097234925
0 146 1857886807
0 149 202442986
0 152 1416085834
0 153 1134748536
0 154 2008415446
0 156 1839584987
0 158 265975803
0 161 1457223463
0 163 572265727
0 165 177381836
0 169 1228678905
0 170 603296458
0 171 828695182
0 173 1882009993
0 175 1892830226
0 177 900535910
0 178 1978372683
0 182 774487207
0 183 1242520803
0 184 116558341
0 188 680879171
0 189 1982817256
0 192 355930228
0 193 813701620
0 195 878598097
0 197 427608764
0 200 1886053100
0 202 437426675
0 204 1078850425
0 206 1714062403
0 207 1600307083
0 208 284676102
0 211 1924742622
0 213 1341844289
0 214 972672311
0 216 2000597774
0 217 1743136384
0 221 1574787177
0 223 1759925136
0 225 797039673
0 227 346953917
0 229 785302630
0 231 216052178
0 232 2097997641
0 237 440810464
0 240 211820994
0 242 338763321
0 243 684950826
0 244 537191965
0 245 99714059
0 248 1637568934
0 251 1704827193
0 252 1845349903
0 253 465891216
0 254 651965580
0 255 1528789594
0 258 1636596735
0 259 438122429
0 260 1145941934
0 262 678436989
0 263 453332927
0 264 1563759975
0 266 1191689167
0 268 152831622
0 269 1589061285
0 270 1123076084
0 271 325752398
0 272 1285214403
0 276 908977472
0 277 1068637109
0 278 1589263026
0 279 1081051822
0 282 316521931
0 284 266342406
0 285 1355440
0 287 550295893
0 288 1127901235
0 290 2059807375
0 292 598444529
0 293 118268402
0 298 2135951801
0 301 76058338
0 303 192879482
0 304 635686891
0 306 1776976663
0 309 1842427623
0 312 1297082748
0 313 546395310
0 314 250079433
0 318 299960786
0 322 2031997849
0 323 1210239342
0 324 327402922
0 325 2064945626
0 329 604737593
0 330 944452581
0 334 1211299092
0 335 248117618
0 336 291637603
0 337 856210353
0 340 1046443281
0 341 280281169
0 342 1901826071
0 343 1905999825
0 345 2081517070
0 348 1363088717
0 349 1471953272
0 350 1081852761
0 354 893822882
0 355 1150161802
0 358 1777878324
0 359 1582262034
0 361 1540137255
0 362 2086540924
0 365 268888995
0 366 1129535558
0 367 412290362
0 370 523025509
0 374 1840032639
0 375 1971238243
0 376 250882218
0 385 1514086867
0 386 1256787865
0 388 1339791802
0 390 845523595
0 392 1730061245
0 393 650834590
0 397 921492688
0 398 1392385855
0 404 1863391402
0 409 847270491
0 412 917115743
0 415 1408123856
0 416 586484613
0 418 2128296960
0 421 688425332
0 422 1365700073
0 423 1560327574
0 424 1408176691
0 427 218838169
0 430 531003462
0 432 1854764131
0 435 421090517
0 437 1960275486
0 439 2040089413
0 440 1567081545
0 443 1430560449
0 444 710959569
0 445 2086753027
0 446 1268433858
0 447 810158047
0 450 820084197
0 454 693023159
0 456 673711561
0 457 1529439144
0 468 1350138420
0 469 1520627530
0 470 851790968
0 471 783090368
0 474 1336946506
0 478 1156351457
0 481 743351904
0 483 2084963619
0 484 794574871
0 486 539922927
0 488 518246992
0 490 124683671
0 491 1213110527
0 492 151668650
0 494 814585800
0 497 933385954
0 499 63112772
1 2 1235055506
1 4 1428971754
1 6 1593241530
1 7 600453557
1 8 219504549
1 12 78257812
1 15 197292036
1 19 206986468
1 22 1599567592
1 23 1957501466
1 24 1996222577
1 25 940376329
1 26 1224613563
1 27 284013528
1 30 624321491
1 34 504557493
1 35 258453752
